"breadwinner_ns__BillingScheduleName__c","breadwinner_ns__ClassName__c","breadwinner_ns__CreatedFrom__c","breadwinner_ns__CreatedFrom_Estimate__c","breadwinner_ns__CreatedFromInternalId__c","breadwinner_ns__Created_Via__c","breadwinner_ns__CurrencyName__c","breadwinner_ns__CustomFormInternalId__c","breadwinner_ns__Entity__c","breadwinner_ns__EntityInternalId__c","breadwinner_ns__TranDate__c","breadwinner_ns__CreatedDate__c","breadwinner_ns__DepartmentName__c","breadwinner_ns__DiscountItemInternalId__c","breadwinner_ns__DiscountRate__c","breadwinner_ns__DiscountTotal__c","breadwinner_ns__EndDate__c","breadwinner_ns__ExchangeRate__c","breadwinner_ns__ExternalId__c","breadwinner_ns__Flag__c","breadwinner_ns__GiftCertApplied__c","breadwinner_ns__HandlingCost__c","breadwinner_ns__InternalId__c","breadwinner_ns__LastModifiedDate__c","breadwinner_ns__LocationName__c","breadwinner_ns__Memo__c","breadwinner_ns__NetSuite_Org_Id__c","breadwinner_ns__OtherRefNum__c","breadwinner_ns__PrimaryContact__c","breadwinner_ns__PrimaryContactInternalId__c","breadwinner_ns__SalesEffectiveDate__c","Name","breadwinner_ns__SalesRepName__c","breadwinner_ns__Salesforce_Account__c","breadwinner_ns__Salesforce_Opportunity__c","breadwinner_ns__ShippingCost__c","breadwinner_ns__ShipMethodName__c","breadwinner_ns__StartDate__c","breadwinner_ns__Status__c","breadwinner_ns__Subsidiary__c","breadwinner_ns__SubTotal__c","breadwinner_ns__Tax2Total__c","breadwinner_ns__TaxTotal__c","breadwinner_ns__TermsName__c","breadwinner_ns__TermsInternalId__c","breadwinner_ns__Total__c"
"","","","","","Preview Sync","USD","","a05Ip0000029j3aIAA","87910","2025-12-05","2025-12-05T16:04:16.000Z","","","","","","1.0","","<img src=""/resource/breadwinner_ns__Breadwinner_for_NetSuite/Breadwinner/Images/pencil.png"" alt=""Pending Approval"" style=""height:16px; width:16px;"" border=""0""/>","","","92083","2025-12-05T16:04:16.000Z","","","TSTDRV2119874","","","","2025-12-05","SO6964","","","","","Airborne","","Pending Approval","a0WIp0000059PjqMAE","2662.86","","0.0","Net 30","2","2662.86"
"","","","","","Preview Sync","USD","","a05Ip0000029j3aIAA","87910","2025-12-05","2025-12-05T16:04:19.000Z","","","","","","1.0","","<img src=""/resource/breadwinner_ns__Breadwinner_for_NetSuite/Breadwinner/Images/pencil.png"" alt=""Pending Approval"" style=""height:16px; width:16px;"" border=""0""/>","","","92084","2025-12-05T16:04:19.000Z","","","TSTDRV2119874","","","","2025-12-05","SO6965","","","","","Airborne","","Pending Approval","a0WIp0000059PjqMAE","2662.86","","0.0","Net 30","2","2662.86"
"","","","","","Preview Sync","USD","","a05Ip0000029j3aIAA","87910","2025-12-04","2025-12-04T08:55:44.000Z","","","","","","1.0","","<img src=""/resource/breadwinner_ns__Breadwinner_for_NetSuite/Breadwinner/Images/pencil.png"" alt=""Pending Approval"" style=""height:16px; width:16px;"" border=""0""/>","","","88590","2025-12-04T08:56:22.000Z","","","TSTDRV2119874","","","","2025-12-04","SO3497","","","","","Airborne","","Pending Approval","a0WIp0000059PjqMAE","147.61","","0.0","Net 30","2","147.61"
"","","","","","Preview Sync","USD","","a05Ip0000029j3aIAA","87910","2025-12-05","2025-12-05T13:03:27.000Z","","","","","","1.0","","<img src=""/resource/breadwinner_ns__Breadwinner_for_NetSuite/Breadwinner/Images/pencil.png"" alt=""Pending Approval"" style=""height:16px; width:16px;"" border=""0""/>","","","88690","2025-12-05T13:03:27.000Z","","","TSTDRV2119874","","","","2025-12-05","SO3498","","","","","Airborne","","Pending Approval","a0WIp0000059PjqMAE","147.61","","0.0","Net 30","2","147.61"
"","","","","","Preview Sync","USD","","a05Ip0000029j3aIAA","87910","2025-12-05","2025-12-05T13:06:38.000Z","","","","","","1.0","","<img src=""/resource/breadwinner_ns__Breadwinner_for_NetSuite/Breadwinner/Images/pencil.png"" alt=""Pending Approval"" style=""height:16px; width:16px;"" border=""0""/>","","","88691","2025-12-05T13:06:38.000Z","","","TSTDRV2119874","","","","2025-12-05","SO3499","","","","","Airborne","","Pending Approval","a0WIp0000059PjqMAE","147.61","","0.0","Net 30","2","147.61"
"","","","","","Preview Sync","USD","","a05Ip0000029j3aIAA","87910","2025-12-05","2025-12-05T13:07:44.000Z","","","","","","1.0","SO-TEST-1","<img src=""/resource/breadwinner_ns__Breadwinner_for_NetSuite/Breadwinner/Images/pencil.png"" alt=""Pending Approval"" style=""height:16px; width:16px;"" border=""0""/>","","","88692","2025-12-05T13:07:44.000Z","","","TSTDRV2119874","","","","2025-12-05","SO3500","","","","","Airborne","","Pending Approval","a0WIp0000059PjqMAE","147.61","","0.0","Net 30","2","147.61"
"","","","","","Preview Sync","USD","","a05Ip0000029j3aIAA","87910","2025-12-05","2025-12-05T13:07:46.000Z","","","","","","1.0","SO-TEST-2","<img src=""/resource/breadwinner_ns__Breadwinner_for_NetSuite/Breadwinner/Images/pencil.png"" alt=""Pending Approval"" style=""height:16px; width:16px;"" border=""0""/>","","","88693","2025-12-05T13:07:46.000Z","","","TSTDRV2119874","","","","2025-12-05","SO3501","","","","","Airborne","","Pending Approval","a0WIp0000059PjqMAE","147.61","","0.0","Net 30","2","147.61"
"","","","","","Preview Sync","USD","","a05Ip0000029j3aIAA","87910","2025-12-05","2025-12-05T13:28:41.000Z","","","","","","1.0","SO-TEST-12","<img src=""/resource/breadwinner_ns__Breadwinner_for_NetSuite/Breadwinner/Images/pencil.png"" alt=""Pending Approval"" style=""height:16px; width:16px;"" border=""0""/>","","","88698","2025-12-05T13:28:41.000Z","","","TSTDRV2119874","","","","2025-12-05","SO3502","","","","","Airborne","","Pending Approval","a0WIp0000059PjqMAE","147.61","","0.0","Net 30","2","147.61"
"","","","","","Preview Sync","USD","","a05Ip0000029j3aIAA","87910","2025-12-05","2025-12-05T13:28:43.000Z","","","","","","1.0","SO-TEST-23","<img src=""/resource/breadwinner_ns__Breadwinner_for_NetSuite/Breadwinner/Images/pencil.png"" alt=""Pending Approval"" style=""height:16px; width:16px;"" border=""0""/>","","","88699","2025-12-05T13:28:43.000Z","","","TSTDRV2119874","","","","2025-12-05","SO3503","","","","","Airborne","","Pending Approval","a0WIp0000059PjqMAE","147.61","","0.0","Net 30","2","147.61"
"","","","","","Preview Sync","USD","","a05Ip0000029j3aIAA","87910","2025-12-05","2025-12-05T13:48:49.000Z","","","","","","1.0","","<img src=""/resource/breadwinner_ns__Breadwinner_for_NetSuite/Breadwinner/Images/pencil.png"" alt=""Pending Approval"" style=""height:16px; width:16px;"" border=""0""/>","","","88700","2025-12-05T13:48:49.000Z","","","TSTDRV2119874","","","","2025-12-05","SO3506","","","","","Airborne","","Pending Approval","a0WIp0000059PjqMAE","147.61","","0.0","Net 30","2","147.61"
